arm,k,temperature_is_default,n_questions,recall_at_10,presence_at_k,accuracy,declined,cost_usd
sq8_np1,1,True,264,0.5871212121212122,0.44696969696969696,0.4734848484848485,0.4356060606060606,1.285778
sq8_np1,3,True,264,0.5871212121212122,0.678030303030303,0.4734848484848485,0.4734848484848485,1.514639
sq8_np1,5,True,264,0.5871212121212122,0.7575757575757576,0.49242424242424243,0.45454545454545453,1.754817
sq8_np1,10,True,264,0.5871212121212122,0.8181818181818182,0.5303030303030303,0.4166666666666667,2.309294
sq8_np4,1,True,264,0.7901515151515152,0.5037878787878788,0.5113636363636364,0.4166666666666667,1.308653
sq8_np4,3,True,264,0.7901515151515152,0.7651515151515151,0.5492424242424242,0.38636363636363635,1.493966
sq8_np4,5,True,264,0.7901515151515152,0.8295454545454546,0.5568181818181818,0.38257575757575757,1.750212
sq8_np4,10,True,264,0.7901515151515152,0.9015151515151515,0.5795454545454546,0.36742424242424243,2.308922
sq8_np48,1,True,264,0.9587121212121212,0.5303030303030303,0.5265151515151515,0.38257575757575757,1.270541
sq8_np48,3,True,264,0.9587121212121212,0.8068181818181818,0.5833333333333334,0.3560606060606061,1.500428
sq8_np48,5,True,264,0.9587121212121212,0.8901515151515151,0.6515151515151515,0.30303030303030304,1.7476
sq8_np48,10,True,264,0.9587121212121212,0.9924242424242424,0.6704545454545454,0.2689393939393939,2.31517
sq8_np512,1,True,264,0.9912878787878787,0.5303030303030303,0.5378787878787878,0.38257575757575757,1.321782
sq8_np512,3,True,264,0.9912878787878787,0.8068181818181818,0.5871212121212122,0.3409090909090909,1.511128
sq8_np512,5,True,264,0.9912878787878787,0.8939393939393939,0.6174242424242424,0.3143939393939394,1.776964
sq8_np512,10,True,264,0.9912878787878787,1.0,0.6742424242424242,0.2727272727272727,2.288735
